25%,75%,Frequency (Hz),max,mean_dBFS,median,min,standard_deviation
-45.0,-20.0,150,-67.5,-55.0,-40.0,-90.0,22.80350850198276
-70.0,-20.0,250,-80.0,-67.1875,-57.5,-90.0,16.89328459821029
-80.0,-20.0,500,-90.0,-75.83333333333333,-67.5,-90.0,14.707551010878346
-75.0,-20.0,1000,-90.0,-70.0,-60.0,-90.0,21.29162589689508
-85.0,-60.0,2000,-90.0,-81.25,-77.5,-90.0,10.878112581387146
-80.0,-70.0,2750,-80.0,-78.75,-77.5,-90.0,6.191391873668904
-90.0,-70.0,3000,-90.0,-84.375,-80.0,-90.0,7.274384280931732
-80.0,-70.0,4000,-80.0,-78.75,-70.0,-90.0,7.187952884282608
-80.0,-70.0,6000,-80.0,-80.0,-80.0,-90.0,3.6514837167011076
-80.0,-60.0,8000,-80.0,-76.875,-70.0,-90.0,8.73212459828649
